cc_upcoming,pp,fb,sd,bid,ibz,cd,dsny,hc,cc,nycongress,sa,ss,nta,zipcode,hd
31,100;106;101;113;105,47;54,27;29;28,Greater JFK,JFK,414;484;410;483;412;413,QE14;QE10;QE12;QE13,45;44,32;28;31;27,5,23;31;29,10;14,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel;South Ozone Park;Hammels-Arverne-Edgemere;Far Rockaway-Bayswater;Rosedale;Springfield Gardens South-Brookville;Springfield Gardens North;Laurelton;St. Albans;park-cemetery-etc-Queens;Airport,11693;11692;11420;11691;11096;11430;11422;11413;11434,
32,100;106;75;102;104;112,47;51;44;50;46,27;28;24,Woodhaven BID,,414;484;410;409;405;482;406,QE14;QE10;QW09;QW05;QW06,45;46,32;30;29,5;6;7,23;31;38;28,10;19;18;15;12,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel;Hammels-Arverne-Edgemere;Lindenwood-Howard Beach;Ozone Park;park-cemetery-etc-Queens;Woodhaven;Glendale;Forest Hills,11693;11692;11694;11414;11208;11417;11697;11385;11416;11421;11375;11374,
33,79;84;88;90;94,57;32;31;35;28,15;13;14,Atlantic Avenue BID;Fulton Mall Improvement Association;Court-Livingston-Schermerhorn?BID;Montague Street?BID;MetroTech?BID;DUMBO,Brooklyn Navy Yards;Greenpoint/Williamsburg;North Brooklyn,302;301;303,BKN02;BKN01;BKN03,36;38;30,33,10;8;7,57;52;50;53,25;26;59;18,Bedford;DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill;Brooklyn Heights-Cobble Hill;Fort Greene;Clinton Hill;Williamsburg;North Side-South Side;Greenpoint;park-cemetery-etc-Brooklyn,11217;11206;11201;11251;11205;11249;11211;11222,Boerum Hill Historic District Extension;Boerum Hill Historic District;Borough Hall Skyscraper Historic District;Brooklyn Heights Historic District;Vinegar Hill Historic District;Greenpoint Historic District;Eberhard Faber Pencil Company Historic District;DUMBO Historic District;Fulton Ferry Historic District
34,90;94;83;104,57;31;35;51;37;28;45,14;32;24,Graham Avenue?BID;Grand Street?BID;Myrtle Avenue DMA,Ridgewood;North Brooklyn;Maspeth,301;304;405,BKN01;BKN04;QW05,30;34;46,33;30;34,7,50;53;38;37,59;18;12,Williamsburg;North Side-South Side;Bushwick North;Ridgewood;Bushwick South;East Williamsburg,11206;11249;11211;11222;11237;11385;11221,Fillmore Place Historic District;Ridgewood South Historic District;Stockholm Street Historic District
35,71;78;77;84;88,38;57;32;31,17;15;13;14,North Flatbush?BID;Fulton Area Business (FAB) Alliance;MetroTech?BID;Myrtle Avenue Brooklyn Partnership,,309;308;355;306;302,BKN09;BKN08;BKS06;BKN02,36;39;38;32,35;36,9;10;8;7,43;44;57;52,20;25;26,Prospect Lefferts Gardens-Wingate;Crown Heights South;Crown Heights North;Prospect Heights;Park Slope-Gowanus;DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill;Fort Greene;Clinton Hill;park-cemetery-etc-Brooklyn,11225;11217;11238;11216;11201;11205;11213,Brooklyn Academy of Music Historic District;Fort Greene Historic District;Crown Heights North II Historic District;Crown Heights North III Historic District;Park Place Historic District;Prospect Heights Historic District;Clinton Hill Historic District;Wallabout Historic District
36,77;79;81,38;57;31;37,17;13;14;16,Bed-Stuy Gateway?BID,,308;303,BKN08;BKN03,36;32;34,35;36,9;8,43;57;55;56,20;25,Crown Heights North;Bedford;Clinton Hill;Stuyvesant Heights;Bushwick South,11238;11216;11206;11205;11213;11233;11221,Crown Heights North II Historic District;Crown Heights North III Historic District;Crown Heights North Historic District;Bedford Historic District;Alice and Agate Courts Historic District;Stuyvesant Heights Historic District;Bedford Stuyvesant/Expanded Stuyvesant Heights Historic District
37,75;73;83,57;39;44;37;28,19;23;32,East Brooklyn?BID,East New York;Ridgewood,305;316;304,BKN05;BKN16;BKN04,33;34,42;41;37;34,8;7,60;54;55;53,25;19;18;12,park-cemetery-etc-Brooklyn;East New York;East New York (Pennsylvania Ave);Cypress Hills-City Line;Brownsville;Ocean Hill;Bushwick North;Bushwick South,11208;11207;11212;11233;11237;11221,
38,62;68;78;66;72;76,42;48;40;32,20;15,Sunset Park?5th Avenue BID;Park Slope 5th Avenue?BID,Southwest Brooklyn,311;310;312;307;306,BKS10;BKS11;BKS12;BKS07;BKS06,31;39;38,47;43;39;38,11;10,47;46;49;44;51;52,17;22;20;26,Bath Beach;Dyker Heights;Bay Ridge;Bensonhurst West;Borough Park;Sunset Park East;Sunset Park West;Carroll Gardens-Columbia Street-Red Hook;Park Slope-Gowanus;park-cemetery-etc-Brooklyn,11214;11219;11228;11209;11220;11215;11204;11232;11231,Sunset Park South Historic District;Central Sunset Park Historic District;Sunset Park 50th Street Historic District;Sunset Park North Historic District
39,70;78;66;72;76;84,41;57;48;32;31,20;17;15;13;22,North Flatbush?BID;Park Slope 5th Avenue?BID;Atlantic Avenue BID,Southwest Brooklyn,314;308;355;312;307;306;302,BKS14;BKN08;BKS12;BKS07;BKS06;BKN02,36;39;38;35,40;39;38;33,9;10,48;44;51;52,17;22;20;25;26;21,Kensington-Ocean Parkway;Windsor Terrace;Flatbush;Prospect Heights;Borough Park;Sunset Park West;Carroll Gardens-Columbia Street-Red Hook;Park Slope-Gowanus;DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill;park-cemetery-etc-Brooklyn,11219;11218;11215;11217;11238;11204;11232;11231;11201,Park Slope Historic District Extension;Park Slope Historic District;Park Slope Historic District Extension II;Carroll Gardens Historic District;Boerum Hill Historic District Extension;Boerum Hill Historic District;Cobble Hill Historic District;Cobble Hill Historic District Extension
40,70;71;66;72;67,41;38;48,20;21;17;15;18;22,Church Avenue?BID;Flatbush Avenue?BID,,314;309;312;307;317,BKS14;BKN09;BKS12;BKS07;BKN17,39;35;32,44;45;40;39;41,9;10,48;42;43;44;58,22;20;21,Kensington-Ocean Parkway;Windsor Terrace;Flatbush;Erasmus;Prospect Lefferts Gardens-Wingate;Crown Heights South;Borough Park;park-cemetery-etc-Brooklyn;East Flatbush-Farragut,11218;11230;11226;11225;11203,Ditmas Park Historic District;Prospect Park South Historic District;Albemarle-Kenmore Terraces Historic District;Melrose Parkside Historic District;Chester Court Historic District;Prospect Lefferts Gardens Historic District
